Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,2.663000,2.719000,2.552000,2.629000,2.629000,0
2016-06-01,2.631000,2.632000,2.247000,2.307000,2.307000,0
2016-07-01,2.220000,2.359000,2.102000,2.182000,2.182000,0
2016-08-01,2.229000,2.340000,2.204000,2.231000,2.231000,0
2016-09-01,2.251000,2.500000,2.206000,2.336000,2.336000,0
2016-10-01,2.315000,2.638000,2.305000,2.589000,2.589000,0
2016-11-01,2.598000,3.091000,2.538000,3.017000,3.017000,0
2016-12-01,3.076000,3.197000,3.025000,3.063000,3.063000,0
2017-01-01,3.123000,3.129000,2.902000,3.051000,3.051000,0
2017-02-01,3.081000,3.127000,2.947000,2.968000,2.968000,0
2017-03-01,3.027000,3.201000,2.960000,3.018000,3.018000,0
2017-04-01,3.015000,3.026000,2.841000,2.952000,2.952000,0
2017-05-01,2.962000,3.059000,2.857000,2.857000,2.857000,0
2017-06-01,2.879000,2.893000,2.682000,2.840000,2.840000,0
2017-07-01,2.839000,2.944000,2.797000,2.898000,2.898000,0
2017-08-01,2.909000,2.930000,2.694000,2.725000,2.725000,0
2017-09-01,2.735000,2.900000,2.651000,2.857000,2.857000,0
2017-10-01,2.866000,2.980000,2.802000,2.875000,2.875000,0
2017-11-01,2.897000,2.899000,2.739000,2.832000,2.832000,0
2017-12-01,2.791000,2.877000,2.687000,2.739000,2.739000,0
2018-01-01,2.774000,2.994000,2.764000,2.942000,2.942000,0
2018-02-01,2.964000,3.221000,2.943000,3.127000,3.127000,0
2018-03-01,3.103000,3.178000,2.968000,2.972000,2.972000,0
2018-04-01,2.991000,3.219000,2.956000,3.097000,3.097000,0
2018-05-01,3.130000,3.247000,2.954000,2.986000,2.986000,0
2018-06-01,3.056000,3.140000,2.954000,2.983000,2.983000,0
2018-07-01,2.966000,3.116000,2.925000,3.083000,3.083000,0
2018-08-01,3.114000,3.147000,2.963000,3.010000,3.010000,0
2018-09-01,3.037000,3.248000,3.035000,3.197000,3.197000,0
2018-10-01,3.233000,3.424000,3.196000,3.402000,3.402000,0
2018-11-01,3.417000,3.455000,3.278000,3.311000,3.311000,0
2018-12-01,3.331000,3.334000,2.957000,3.020000,3.020000,0
2019-01-01,2.987000,3.109000,2.900000,3.005000,3.005000,0
2019-02-01,2.994000,3.098000,2.970000,3.083000,3.083000,0
2019-03-01,3.104000,3.129000,2.799000,2.822000,2.822000,0
2019-04-01,2.847000,3.011000,2.835000,2.940000,2.940000,0
2019-05-01,2.926000,2.953000,2.574000,2.583000,2.583000,0
2019-06-01,2.565000,2.652000,2.502000,2.528000,2.528000,0
2019-07-01,2.544000,2.670000,2.466000,2.527000,2.527000,0
2019-08-01,2.529000,2.529000,1.905000,1.970000,1.970000,0
2019-09-01,1.945000,2.378000,1.909000,2.308000,2.308000,0
